[1213/115958.048:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
[1215/174824.599:WARNING:cache_util.cc(94)] Unable to delete cache folder.
[1215/175210.275:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[1215/192512.678:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1215/192517.698:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1215/192522.705:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1215/192527.720:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1215/192532.734:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1215/192537.740:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1215/192542.749:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1215/192547.753:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1215/192552.763:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1215/192557.768:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1215/192602.773:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1215/192607.785:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1215/192612.796:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1215/192617.808:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1215/192622.827:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1215/192627.841:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1215/192632.848:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1215/192637.866:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1215/192642.885:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1215/192647.898:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1215/192652.917:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1215/192657.937:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1215/192702.950:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1215/192707.970:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1215/192712.989:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1215/192718.000:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1215/192723.004:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1215/192728.009:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1215/192733.024:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1215/192738.038:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1215/192743.045:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1215/192748.056:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1215/192753.063:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1215/192758.072:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1215/192803.076:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1215/192808.084:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
